event_name,timestamp,parameters
open_position,75,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 3292694629, ""user_index"": 0}"
open_position,76,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 768975423998, ""user_index"": 0}"
open_position,77,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,78,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 309125219825, ""user_index"": 0}"
open_position,78,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,79,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 123476610625, ""user_index"": 0}"
open_position,79,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,80,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 50090173203, ""user_index"": 0}"
open_position,80,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,81,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 19466028501, ""user_index"": 0}"
open_position,81,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,82,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 8395563951, ""user_index"": 0}"
open_position,82,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,83,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 2514180437110, ""user_index"": 0}"
open_position,83,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,84,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1027400638434, ""user_index"": 0}"
open_position,84,"{""direction"": ""long"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,85,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 415367359032, ""user_index"": 0}"
open_position,85,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,86,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 166279478186, ""user_index"": 0}"
open_position,86,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 1000000000, ""user_index"": 0}"
open_position,87,"{""direction"": ""short"", ""market_index"": 0, ""quote_amount"": 66073174523, ""user_index"": 0}"
